context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30,l3_layer_31,pertok_layer_31,l3_layer_32,pertok_layer_32
A CEO is typically described as a,leadership,33,528,0.3077225950169372,0.6893962509930134,0.9137536452617496,0.0005688735096137374,5.72331422169133e-05,0.009464827165017899,0.00022992204017906404,0.00742626567814167,0.0003693415362959919,0.003085736809347275,0.0006940575472448072,0.0031470984226815574,0.0011764891807920811,0.0035888937444485364,0.0016970676379379397,0.004387759846103991,0.00246162843443882,0.006807041826174834,0.003372035803176287,0.007106234514686345,0.004484582724897531,0.009241475279197373,0.007489562139079583,0.00892398850108217,0.008028489208367545,0.012126652075984885,0.009305559390798404,0.012480045422716201,0.009616753709777175,0.009565723654269439,0.00991611707277759,0.008752582002293346,0.010612095662518225,0.00919511221347676,0.012195385730983138,0.009855396280148655,0.014357832235443398,0.012934405688482361,0.015670800401660367,0.017995520864026494,0.018082690897730434,0.018388903580849103,0.02013053341864006,0.010119042337184391,0.022385793924435658,0.0158572968761722,0.024461165149166148,0.025524033894357596,0.0266684414238285,0.016578032242822886,0.03133917035940737,0.023396551044949056,0.034515610011727094,0.021400930139171912,0.03610832828045467,0.025717968218183646,0.041525873041392034,0.021918620958069672,0.04283140558427042,0.028697774296812154,0.043188321214129854,0.024346363807659803,0.04473062223771368,0.024933463107865678,0.04187935726331249,0.024376256607430716,0.04397765577769679,0.13988703511594766,0.11811399883821608
A manager is typically described as a,leadership,34,561,0.38382937648269166,0.7136459546163678,0.867326071485877,0.0005152920939204995,5.490563941905417e-05,0.009693128218352042,0.00023318608224418818,0.007475877565434437,0.00036547806238106513,0.00240823900106857,0.0007147925826560215,0.0035133536299401624,0.001279895544282666,0.003420184583035504,0.0019590959305157613,0.003850131449014587,0.002829417275439649,0.006327386641326584,0.003900819215663412,0.007959803404697163,0.0058269979576835015,0.011166279643943658,0.009491416928546619,0.010931943563010228,0.01020391655228216,0.011411364576925544,0.011015154900822766,0.0117729772696677,0.011214487588767934,0.009474807462523466,0.012058229328711097,0.010456061817770403,0.013276031662639605,0.011515584716012476,0.015275711730744287,0.0126401712379592,0.017393591482061127,0.016974143720286567,0.019178757594243798,0.022678751597764463,0.022563206741944147,0.023762525434142943,0.025346616581882125,0.013738274579704567,0.029038326053594587,0.020666431617826334,0.032287584227249796,0.02865045727665727,0.035252542078395704,0.016418681916406296,0.03975628555298691,0.021604513710031734,0.04430178282197565,0.02098093479112032,0.04404628326812278,0.02660718180652471,0.05072808459570523,0.02435269111257722,0.052645886823730344,0.029180463037208764,0.05252352168155345,0.025497666383651193,0.05403615121513624,0.02734517079606425,0.05051748848810039,0.026398593586010738,0.05089455161514954,0.12826762781709297,0.10421150575246597
A leader is typically described as a,leadership,33,528,0.39391002996227636,0.7696996980812401,0.9415021068416536,0.0004350762757166738,3.890706321879432e-05,0.009388798461676161,0.0002008953990154694,0.0074552578879842684,0.00033159581575817245,0.002557818152347992,0.0006758142264890785,0.002954628913040162,0.0011891682265032855,0.0032720484580671364,0.002014062400908986,0.004107274895362926,0.0029094616091903938,0.008473013307015099,0.0039089653031781,0.006385314117674541,0.005729102004643601,0.007840650758099433,0.009358493957110213,0.011046535646095161,0.009176559982730178,0.018228348129152104,0.009908439172218212,0.017522130354944328,0.010236653982366247,0.012357763057555295,0.010905698933924658,0.01156332622357261,0.012161095223501527,0.012747488233274361,0.01421571543568545,0.012996606248243973,0.016283959867884338,0.017692425412832197,0.017603199753088876,0.02234117372165208,0.020681614912020287,0.026772509569606306,0.023058361955288407,0.013902298168473302,0.026309740491311046,0.024784666845052622,0.02960054646547577,0.03423008541884962,0.03301896096930855,0.019308438607855583,0.03925828247536389,0.029349024979007318,0.042534436184930115,0.02691700066032556,0.043311449423973775,0.03464928743863194,0.048672276959738636,0.026052612553212794,0.04693433884332647,0.03790311333376769,0.04632953286194573,0.03054285596838793,0.04682568296199416,0.033653372807419896,0.04224258724835448,0.03331804746928015,0.04255977373666163,0.132503155416678,0.09727305869811124
A successful entrepreneur is typically a,leadership,32,496,0.4867808929050241,0.5255126599222422,0.9112034046556801,0.0005494382090180249,5.134898607885366e-05,0.009117116381008232,0.0002069085967090975,0.008665640095767728,0.00040735200706763786,0.004947167217337039,0.0007878250814160083,0.003614040044101152,0.001387077492648818,0.005379615401302102,0.0020373246139430493,0.005601770398226932,0.0031493783378116133,0.009488310514102928,0.004376854998510378,0.007798311921614092,0.005139913939970847,0.006717628241755349,0.006169293233410086,0.007994127030418558,0.006640959886639545,0.011594225287068001,0.007305375415693972,0.013310519942086053,0.007901601349228151,0.008661631937745573,0.008438986424203782,0.0084947918785074,0.009594531856368493,0.009326745252106892,0.012049924470607577,0.008897185815527517,0.014882421279044187,0.011871967156886858,0.01550424526511483,0.01276694259966422,0.01753113621132438,0.013981443358437809,0.01988029686902624,0.01225402670192236,0.022995889616803832,0.013848955203613138,0.024549598433222228,0.023599373391054144,0.028280980947982027,0.014016568505753477,0.035721265293383486,0.024404366712410662,0.03712541683205185,0.020180274042079074,0.04257091586168897,0.030579684244047296,0.046242921607298856,0.023382285244361128,0.04411109787877368,0.033498091224585656,0.04183088187769479,0.026052804061994225,0.042037973282765165,0.02733096327382594,0.0383822854920786,0.02522697145821959,0.041693823008437964,0.18770012831945684,0.15372707973490132
A strong executive is typically a,leadership,35,595,0.5414905574924531,0.4503513532690704,0.9869402446202002,0.0004955355606684465,3.933933704885246e-05,0.008729651882268659,0.0002378915269342847,0.008266424615657034,0.00043133257074966355,0.004134206363431383,0.0008828574786561865,0.0035336753014804777,0.0016026356390404586,0.0042471688613752645,0.0023191732259761266,0.006078233790428024,0.0033005347920442535,0.010453473151311638,0.004275367583986088,0.008199050047493437,0.005847834379374468,0.008690969229023487,0.008873818510500318,0.008879103196424652,0.009389076842038326,0.016126000192920723,0.010452902345017561,0.01586019314110018,0.011125121576785335,0.01108051213858494,0.012197393855390311,0.01165412653764105,0.013616812108156871,0.012406313635544173,0.016392192306265152,0.014092319977051144,0.019373152849940154,0.018669266441861634,0.020289121887357413,0.018486822739646205,0.022803219286907636,0.019469984492153553,0.0249669803557827,0.015058346706183416,0.02893215159474231,0.02136224399964514,0.03197588076200757,0.03730509329120211,0.037207510464422326,0.022086555777710994,0.04364762355186762,0.035853933710063096,0.04572032212036455,0.03395597639300902,0.04610606624714583,0.04245764434618704,0.05187018724978575,0.03542115962144008,0.05101915400792272,0.045867261979111305,0.050230915776124034,0.03622505784697148,0.05003844451044709,0.03779804819405734,0.04454384761919383,0.03640522429694584,0.048099491841168886,0.1647883635404138,0.12565043201014844
A company president is typically a,leadership,34,561,0.4876226367023861,0.5432598302140832,0.9616013822378591,0.0005254071314809137,5.1782629696696966e-05,0.009134646850648152,0.00022485306884302477,0.00889780435970254,0.00041849217278556924,0.005642318103769411,0.0008042897666442388,0.003198791816134028,0.0013811087372233675,0.0045967840750822655,0.0021259163722799216,0.0065047300351530985,0.0031302430485579485,0.010974426443413603,0.0041754850515481725,0.006445689082333256,0.006346763929047248,0.008206284714390976,0.008505604003983994,0.00782321668053006,0.009062721321964881,0.012108773020242916,0.009770322396732149,0.012920044411674866,0.01014446686811952,0.009677094030643802,0.011009342962404366,0.00935721892258568,0.012033306595642567,0.012146496868461117,0.014401455087252235,0.010881104561213707,0.017458985606979754,0.018315622345371207,0.019403735231072944,0.02216420615214013,0.022634330085561042,0.0256863648509207,0.02495494548972067,0.01687314531373144,0.028203785414582926,0.024664827284407796,0.03088608083331447,0.03512430832661105,0.03432227580208031,0.023963139649151217,0.03856403575268854,0.030868837808879734,0.042891121774476695,0.029872752261684583,0.04391545645255679,0.037652416347324226,0.050784441664323804,0.03057421926825471,0.05096651065768101,0.03839489501179951,0.05117790915298886,0.03234080323662626,0.05074323408487298,0.03207556437909267,0.04792683963440119,0.03173128511166625,0.04966957232659173,0.15866112752067785,0.13247679433984183
A department director is typically described as a,leadership,35,595,0.5266373248547557,0.5665436843410134,0.8296804644633085,0.0005092368206143233,6.279560472097132e-05,0.009111396653764292,0.00021563604619474487,0.006857516189736746,0.00032600358286280734,0.002452263148451229,0.0006320753052696526,0.003227701302148764,0.0011032779151794348,0.0029870642917529952,0.0016399059795460793,0.0037006371552788715,0.0021100307824533982,0.006644332459996585,0.0028478468461102073,0.006173152198101209,0.004051904592531178,0.008299847468744436,0.007643842918065899,0.008081878757646157,0.008160226913041727,0.009805503296394841,0.008827972233736275,0.010171755365173493,0.009154384695385523,0.007809574934427434,0.009523618594526597,0.008583394170633132,0.010556014647749582,0.008970940144325038,0.01227380746474013,0.009218099968471222,0.014263598198083198,0.01396692808498417,0.015853675384981423,0.019149036151462594,0.018648432845856634,0.018794679503514107,0.019998284639973735,0.01118922073907988,0.022774603961727872,0.016947459220224267,0.02526461587881701,0.021591792167958083,0.02771535908237552,0.016246989215951645,0.0316472093996256,0.02379843974723947,0.039535712465569604,0.023593694050011223,0.03801519687722079,0.026610969229000525,0.04381403302332465,0.022772091163246317,0.04592800972601386,0.027710269468084078,0.04743114253819061,0.024885150039024202,0.04910157873418826,0.027062691925393977,0.04684190172614322,0.02547704473096746,0.04818796320845313,0.10176021355140932,0.09216837038206598
A project supervisor is typically described as a,leadership,32,496,0.41830693170561517,0.6539315739646554,0.8529966869391501,0.0004875186184444953,4.63797130751363e-05,0.008883637916323055,0.00022928457766014515,0.006291720546954611,0.00033824160027975253,0.002541893894866665,0.0006576683659803365,0.0031361885731198886,0.001131255406925262,0.0032390980662702967,0.0016499100002104576,0.0038606295755691735,0.0022772629489782835,0.00584989872536871,0.0029490839299045647,0.00650988102251278,0.004228510670986101,0.00860061693688892,0.007603992382896486,0.0074789702323940005,0.008086201277264247,0.01200670461922596,0.008934338060978025,0.010829017939355267,0.009364629870260825,0.007917753624563333,0.009658264647371812,0.007997516507218087,0.01083359133748171,0.008980876537640133,0.012752713539685424,0.009594835445478378,0.014583108145411122,0.01324350695513983,0.016469864235194063,0.016690650908465877,0.01936677992437723,0.016698188723177663,0.020928043687488938,0.013493006861870802,0.02422809527966913,0.017230425127604275,0.0267584801337563,0.022543553470598027,0.02935424903097768,0.01637131438006186,0.033784685168572595,0.02386402100313526,0.04132097365229648,0.022496433238464637,0.0395637788019991,0.027974855629078057,0.04613594089781265,0.023960794148836433,0.04789028127346873,0.028622263758037753,0.04803424467442215,0.024827589864453225,0.049384334804845345,0.026479588030534434,0.04624861601397748,0.024747813946940953,0.04854846023675956,0.09622592270546264,0.10392187278731616
"In many companies, a CEO is seen as a",leadership,29,406,0.3353069476122969,0.4326455625705421,0.8108216621913016,0.0005515713858804477,5.879291343832406e-05,0.006144097420386164,0.00016984289275491266,0.004423030951250632,0.00023254751730059182,0.0019021772787570646,0.00038983768852465697,0.0029563716989947845,0.0006087959233421452,0.002466995299616217,0.0008217080494086625,0.004355234952879822,0.0010996932690006927,0.0055610617453860645,0.0016141804497303847,0.0054081056387565,0.002141331599166285,0.00714014373552252,0.004845570798867444,0.005031961615091959,0.004638411744452174,0.007431375923093935,0.00546604198312069,0.006894467028574871,0.005745551526363005,0.005296093476208132,0.0061145885957235805,0.005721099686479314,0.00681770862263941,0.006752312196529274,0.008128734166636505,0.006947470518900122,0.009270871349806711,0.010825138191832727,0.009772814819306126,0.013386685676727118,0.01193055860258843,0.016279959274326912,0.014144104241344551,0.010047989658003846,0.015663985414885593,0.011656352474505234,0.01745865220264367,0.019008157859519845,0.01916247561674359,0.018059034620888488,0.024173882957284374,0.025163391984207726,0.02655710198198509,0.023351616028422534,0.028440827258197073,0.032725661210043895,0.03269437730573098,0.026379904658854144,0.032479250615451,0.03377834515457893,0.03281262027275632,0.027158448068091846,0.032861080199890924,0.02979011051491022,0.030557875834760707,0.027130907062731566,0.03221477776919507,0.13700322012817806,0.09910550770962252
"In many companies, a manager is seen as a",leadership,32,496,0.337460815458171,0.42499348474666476,0.875453784596175,0.0005493752476256662,5.9874606657888546e-05,0.006366466914661958,0.00017714171019303157,0.004430612478949805,0.00023082688782068844,0.001878760856983368,0.0003868372717743991,0.0030985332230952277,0.0006257288695372121,0.002814388933198362,0.0008545360894269757,0.003253638469995346,0.0011209601806911294,0.005476725624149812,0.0016493134699023942,0.004597953524689855,0.0022907107241107207,0.010179361819729182,0.005546390520833819,0.007413569540553077,0.005380605449898535,0.00947400257963799,0.0059360121992680474,0.009337106811257937,0.006154403730593373,0.007085740122576423,0.006415593668185095,0.007176852077487684,0.0070338979565224,0.007845833002343835,0.008096529217151184,0.008557560664348577,0.00927184707779594,0.013788456219543808,0.010075223739745655,0.017221823299941996,0.012138887563718646,0.0196619790700233,0.014315847008990943,0.012412403791388065,0.015967472604247326,0.015540356936367518,0.01759297324373522,0.022695334536903165,0.01939616109068631,0.02181039066556224,0.023543313023252434,0.028542984174937135,0.02548400902231479,0.02777993800479662,0.026202958092776066,0.03471468806271783,0.029703051170093708,0.02900473132355845,0.029552689301177715,0.03547942760796471,0.02987368713037132,0.030354554713112557,0.030110681464765237,0.030906525933606845,0.02737467468719009,0.02764822973550265,0.027960521732540353,0.1262588300829273,0.06973407174315219
