context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,37,666,0.5262056189591926,0.35237907199189067,0.9022480817511678,0.0007997939432593521,6.150538643006136e-05,0.014488344917064808,0.001692607552366074,0.022694926153054136,0.0032566265313970703,0.010695315438921474,0.005167382436858568,0.005427619491235292,0.006435108661245195,0.005816308811851119,0.006276708782851581,0.006630189761176573,0.006793450350485814,0.006535124868910424,0.008455432132247588,0.0077070994001245344,0.010338144973179588,0.0077729232153866306,0.014137223629455036,0.00928037345241001,0.018484374302633833,0.012520438070526586,0.023945535272430887,0.014921222815602792,0.03213927081643567,0.013982053225360055,0.03835080505311782,0.014792293504370217,0.04621684722843898,0.013682572379262969,0.056875733044836486,0.016507833204503202,0.06805760009573533,0.01715165802120121,0.07193023786328842,0.024526022861924353,0.0785392170795824,0.028892490324817225,0.08635201650135146,0.03482137263342143,0.08419649047844917,0.029814940603115462,0.07497771092535814,0.020589107789744626,0.06096281693458934,0.03793545738362831,0.05968987853935036,0.11087884166888338,0.06313587607070434
A manager is typically described as a,leadership,35,595,0.5312857767200755,0.2948012128472328,0.900206180755049,0.0007689796093686211,6.715039927723345e-05,0.014031348690906564,0.0016371660261949948,0.024674894789772448,0.003366138203683579,0.012336909991335304,0.005542176312677787,0.006453178011931424,0.006926204258173137,0.005938512391493258,0.006911644808805484,0.007316337909774401,0.007540408497397112,0.007413119670119649,0.009236306086212129,0.00852939675809081,0.011464570613215616,0.00916237298690593,0.0154056055613302,0.011688912801935498,0.021205913999665614,0.014490404225638751,0.02766321058552386,0.01667805357724098,0.03709790470910808,0.017643404264067342,0.04418244234058537,0.019475656890702273,0.05349282988263705,0.018131424870770848,0.06486940008342788,0.021917904338050125,0.07683285766861292,0.024676785437983715,0.08201790756029359,0.03505451084458538,0.08844933342186709,0.0403853812467638,0.09622720426861847,0.04391362762912932,0.09143375001413834,0.037899934638434524,0.07959206965828555,0.03327302359244223,0.06788551247111048,0.047464221789388784,0.06975814624981333,0.13314677097487884,0.07606716429143368
A leader is typically described as a,leadership,35,595,0.5113964054725479,0.32568081049248576,0.9303294506389648,0.0009119642660263055,7.630391974583959e-05,0.014314785728572716,0.0017155281492960178,0.023365086250796762,0.0033758846795738087,0.012139145122309574,0.00550298039368697,0.00687359198489412,0.006738386776783394,0.00679483120383534,0.006804970494888805,0.007126935342968904,0.007455456145345954,0.006682484040362939,0.00905831987521306,0.007826118619097624,0.011160095610219915,0.008237277013874143,0.01457577735441652,0.009614808510957848,0.019288046011843973,0.013020282251232307,0.02544787150818017,0.01696977917111638,0.035827828141464874,0.017645334321486926,0.04256337862804924,0.018974003303655056,0.051109412801594305,0.018795038401667817,0.062010428962043944,0.02268891949866424,0.07322199932590832,0.024103299451258973,0.07774385279190588,0.033414295613333284,0.08410790481379511,0.03761842940064234,0.08927197609417699,0.03925906098548957,0.0844557397421164,0.03432547921729158,0.07572328193710676,0.025896612386872304,0.06279155388153301,0.03477927122806687,0.05971854334729973,0.3095349136575154,0.17484913884267694
A successful entrepreneur is typically a,leadership,34,561,0.4563211778648896,0.3759164665825665,0.9390522346366197,0.0008211818289472611,5.5216013134034795e-05,0.013977961922364952,0.0018928750569639269,0.022860449434495934,0.003746548387455584,0.013140945784470063,0.0059007764405108075,0.006198221555963969,0.007129140251426678,0.006917539851588929,0.0067697875585093345,0.009990716767937214,0.007492009735644371,0.007848263247867016,0.009184767138986824,0.010723996218987005,0.011025631398764254,0.012046588263278458,0.014237813529921754,0.012485365496850611,0.01819236350135192,0.01520436673286514,0.023379318561214002,0.017732960473368194,0.0295423803005058,0.016355266042731777,0.036115792360014,0.016478574708466642,0.042893352378451356,0.014781036698456977,0.050856067080270594,0.019334971561607555,0.059539132337116774,0.021914015460440046,0.06205044600597422,0.031741505853221226,0.06982926755193664,0.0365179402708488,0.07580111646026083,0.04102782282579572,0.07373030031979867,0.03400438503592131,0.0664645627806699,0.0215873814653834,0.05459246258844104,0.03604156360830028,0.05420925425292898,0.12606742894856027,0.07143743730747829
A strong executive is typically a,leadership,32,496,0.3509010313905774,0.3768941964954138,0.9650679638143629,0.0007343505617954427,4.8142966687016175e-05,0.015211337059090122,0.0020218740548159954,0.023089617593697036,0.004072235208912204,0.012163193921284168,0.006349779263403459,0.006034189760923711,0.007840815364565407,0.007327925815799377,0.00760174533271726,0.010450415886047077,0.008568904329592713,0.008096141152095324,0.010458159148683453,0.009263257421154225,0.012861567981146092,0.012391842025382982,0.01749160690623631,0.014646488510110361,0.022209443903341893,0.018444780449289287,0.02886380490267542,0.02231210784223909,0.035988161551212414,0.021703462340075155,0.042490484215151086,0.022948396960750003,0.05090362746275656,0.019609488317462925,0.06117917558747977,0.023593513461195773,0.07376654876671679,0.02684495423713685,0.07634791080865085,0.038398083627310634,0.08761625790490916,0.04173862385031545,0.09323112075678547,0.03867598282541606,0.08524310032525577,0.031587335342332545,0.07610948695598704,0.021772780929645984,0.06166478598412285,0.03510013558613439,0.05284395880327862,0.02995091160352272,0.019300500511960524
A company president is typically a,leadership,37,666,0.5007363381069754,0.2980634435079992,0.956633074209094,0.0007968085697545839,5.6528274224541103e-05,0.014982454748773077,0.0019131631617355393,0.025020276634150077,0.0038880916262851893,0.013343026591738347,0.00591498786654692,0.005232806117803087,0.00753312712206596,0.005040028710427913,0.007128403956975116,0.007406352611956482,0.007796757814934854,0.007056627786186282,0.009585687332188363,0.00930466017340369,0.011435890399419318,0.010986308864143143,0.01586689051561037,0.013421882953607855,0.020848172079054973,0.017790720602703775,0.026838529065472787,0.02099733850451465,0.034854231988956666,0.018076049990336032,0.04310515949519822,0.01879307935459443,0.05157339709874181,0.018211171871824968,0.06112236663194455,0.022515975579655526,0.07288641579716873,0.02379636560632918,0.0773338228903191,0.03400892364755738,0.08699032423991257,0.037287880277563266,0.09371711032244852,0.040993660401723184,0.08981855828310654,0.03295684132293889,0.07870528458703237,0.024979898631195405,0.06763292322021326,0.03721689963354368,0.07052978004271256,0.2101196137705891,0.11557840009490307
A department director is typically described as a,leadership,36,630,0.5911301423921175,0.2975198868662119,0.8993439162150025,0.0006777552850524829,6.656530076052442e-05,0.01270584292850001,0.0014888143521445624,0.022209981307849066,0.003084686216227721,0.01116829615219295,0.005183213211547034,0.005107803752191312,0.0064513649526227795,0.004631413650677521,0.006702271262057601,0.005842258163508969,0.00734012098564397,0.006189173601394952,0.00876395968797741,0.007828606675513846,0.010920836644257978,0.007306071787895243,0.014740068735878027,0.010782561599241137,0.02009554836364697,0.012176470680552571,0.025753333603764014,0.015126771163838863,0.033904806338635046,0.014849675545235646,0.04067701815248699,0.015283926950013536,0.04934281890141993,0.014338530931052218,0.061005874144791444,0.01625366661345832,0.07261451227269398,0.017020142821553418,0.07838944722780779,0.024938332670468157,0.0868857730231468,0.029620346743797328,0.09715257493377041,0.03237875045719227,0.09379869566021354,0.02751145448739371,0.08474260162339177,0.021502810245634964,0.0716683971448297,0.03606740077212501,0.07002181062860446,0.1507031352633745,0.08514936917968316
A project supervisor is typically described as a,leadership,35,595,0.6061942776836815,0.4580973354168236,0.9025123566389084,0.0006545072983687229,6.111988756983663e-05,0.011992816671780267,0.0013835300015674283,0.02039436186472412,0.0027128741956932443,0.012655085242303693,0.004770026712212123,0.006200401872332696,0.0062234821748852675,0.005290582098354007,0.006354218058639195,0.007133175797918794,0.006978709443394927,0.007311825425636414,0.008632260757996769,0.009709152897015795,0.010979122883375367,0.007907866948008643,0.015192724602221772,0.011047825545454623,0.02095889922632496,0.012891449399422458,0.026908610040832354,0.014804476288921302,0.03616325879607376,0.014385177249658383,0.0444465781501242,0.01572188633273983,0.05431377692236054,0.015132483459502499,0.06607336592001192,0.01865462644990519,0.07622702819238236,0.02006770408132255,0.08050049006420124,0.028889111739201927,0.08680858623609362,0.03446195868801079,0.0925437569480835,0.03524574979989753,0.08778741358341406,0.029882503420427312,0.07989509323925488,0.025461417909297183,0.06821145818675431,0.036458567333513846,0.06842157539376355,0.18660433480162003,0.10934690585547406
"In many companies, a CEO is seen as a",leadership,36,630,0.48514590855624323,0.30036788061261177,0.9258628773968667,0.000982131532450745,6.375048003241019e-05,0.012433708169392474,0.001354267773754047,0.02170481878452141,0.002953139656527776,0.011811743180682462,0.004932962457378367,0.01034563959208384,0.005477474163591515,0.008739867602637338,0.005393964430180097,0.009635024392751126,0.005755178111682333,0.009039119820461659,0.007385575088865047,0.011602727385785825,0.009153937275673556,0.01085775620489235,0.012272630338174202,0.01344697495594673,0.01661450901091609,0.015645143738370997,0.020708355681953637,0.01857868739847506,0.026902520356153307,0.018042049619276156,0.03299893657129695,0.020280852481373207,0.040200461303594656,0.017698060875051293,0.04912308071675606,0.018985835970223734,0.05873403418361725,0.01847601797378298,0.0636341377168898,0.02725782907996146,0.07024572399167447,0.030237321973931315,0.07710672621525373,0.03371884314735808,0.07368868048515151,0.025957031256873427,0.0645271036855507,0.02156803587798169,0.05440092140926776,0.03510823832104874,0.049537712440607534,0.1820943542961812,0.09619409355231956
"In many companies, a manager is seen as a",leadership,36,630,0.5373073504288137,0.24820023961365223,0.9250392108224332,0.0007622902720223451,5.376124259542e-05,0.012564316727063922,0.0013609351934872709,0.02077897623924202,0.0029007389686971207,0.012386365299520474,0.004753477801120753,0.010478069244003366,0.005420371750151966,0.009357106339020255,0.005367569236174186,0.010285439123087575,0.005772199848755282,0.010293826721089463,0.007476136151727088,0.012883417772015139,0.009403136588091962,0.011553600668053098,0.012471010821043068,0.013702131872267966,0.01716785163808191,0.016128695827671347,0.021409921956033258,0.01830346263573641,0.027645615911804675,0.018444486703112137,0.03374237977626712,0.021636346901149923,0.0409457742104102,0.0196016769394468,0.049232496574097624,0.0207509887525736,0.05905132578443168,0.022832568125468845,0.06389275763536727,0.03283987289758334,0.0703625731945795,0.0362884668246946,0.0761487164135726,0.03602336826798031,0.07021476756447334,0.02737378790652894,0.06190529441763991,0.023586239649592392,0.05134833647315011,0.034866720079317064,0.04646551794851524,0.12083994873336411,0.06089144530422941
