context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30,l3_layer_31,pertok_layer_31,l3_layer_32,pertok_layer_32
A CEO is typically described as a,leadership,33,528,0.27432344259343644,0.6893968139775097,0.9137507118284702,0.7051799113178276,0.9222223746346572,0.0005688827455725249,5.7233527687521594e-05,0.009464872441952642,0.00022992122653647638,0.007426354863440526,0.0003693408892158886,0.003085704291114364,0.0006940615133912655,0.003147086437129061,0.0011764976437490424,0.0035888228288487355,0.0016970854716801063,0.004387695215724703,0.002461640683035223,0.006806921646303752,0.003372035233735708,0.007106211200658119,0.004484599436849272,0.009241494936120705,0.007489566277356832,0.008923999045132797,0.008028491897540836,0.012126721738111126,0.009305598574167412,0.012480131874684011,0.009616809341643369,0.009565742955456947,0.009916185773989528,0.008752581686235763,0.010612173198209144,0.009195149485792802,0.012195442578979074,0.009855412492135705,0.014357863625793953,0.012934654095348047,0.01567082577798645,0.017995668877596165,0.01808273910406241,0.018389094063332587,0.02013057407106889,0.010119093340930729,0.022385798215830952,0.01585742894514504,0.024461170364917684,0.02552428794556624,0.026668439335252984,0.01657828796175906,0.03133904069444162,0.023396647669473317,0.03451554303771854,0.021401058386316063,0.0361081713574708,0.02571810753157813,0.041525682748012695,0.02191862897531708,0.042831220394513564,0.02869777822958008,0.04318819102805423,0.02434609746532088,0.044730314091339145,0.024933144494086505,0.04187912926494956,0.024375960924653117,0.043977052840215074,0.1398731570926839,0.11810361656820408
A manager is typically described as a,leadership,34,561,0.3455705964090796,0.7136463166680187,0.8673210120759904,0.7265911178002398,0.8765672982253818,0.0005152978180025263,5.4906198298108313e-05,0.009693133385043925,0.00023318582480870022,0.007475909838000857,0.00036547748154695234,0.0024081785065290353,0.0007147979406266378,0.0035133757402478504,0.001279905280890771,0.0034201717715813436,0.0019591128121461457,0.003850087348608245,0.0028294206453658563,0.006327267394051282,0.0039008131452399177,0.007959843678098339,0.005827005212706532,0.011166275207855058,0.009491393587488198,0.010931832391913948,0.010203890522826472,0.01141143495369374,0.011015173609456363,0.011773024107171485,0.01121452286169246,0.009474732779545667,0.012058296189449242,0.010455970653647026,0.013276116867802449,0.011515558958290078,0.015275773710279425,0.012640168453466607,0.01739363381845179,0.016974389468996678,0.0191788037163206,0.022678848274708643,0.022563305548043658,0.02376261746986894,0.025346714272928318,0.013738310072356532,0.02903838666317584,0.020666491950245534,0.032287649658963566,0.028650643273757225,0.035252632467494556,0.016418801863896302,0.03975620601548344,0.021604528376021025,0.04430176517246548,0.020981091503061475,0.0440461565875469,0.026607292493932094,0.050727922166220844,0.024352676467616814,0.052645775929530965,0.02918040933774563,0.05252345699311357,0.025497372591144457,0.05403589837776378,0.02734478678248975,0.05051734694105249,0.02639826446384156,0.05089405474904047,0.12825287648018907,0.10420208082763764
A leader is typically described as a,leadership,33,528,0.3653735750062292,0.7696998037863523,0.9414996621198952,0.7788588174189499,0.9436630828579382,0.00043508163422430863,3.890760218819878e-05,0.009388861123447952,0.0002008952508182237,0.007455317964921754,0.0003315956669317331,0.002557767184662826,0.0006758210400800662,0.0029546517636602192,0.0011891824622561348,0.003272028318830079,0.0020140873377155924,0.004107214952944232,0.0029094783692429687,0.008472847190577342,0.003908971053479682,0.0063852588370186735,0.005729127401990615,0.007840626719514155,0.00935850286542218,0.011046666977535386,0.009176564341921564,0.01822851045428394,0.00990846671791497,0.017522221498502043,0.010236691914170681,0.01235767546118863,0.010905749080805646,0.011563223823251726,0.012161152248476814,0.012747456118091291,0.014215737535120617,0.012996690747802537,0.016283968720293845,0.01769283397340786,0.017603216948317877,0.0223413805107987,0.02068164613808062,0.026772708389322632,0.02305839434119924,0.013902487925821617,0.02630974070366316,0.024784943192769252,0.0296005369050101,0.0342303992565743,0.03301896440082393,0.019308791419163265,0.03925811158755924,0.029349188311851196,0.04253433492059679,0.02691730966908487,0.04331128018942425,0.034649646612832485,0.048672042176236045,0.026052778670244435,0.04693411755339757,0.03790322599237179,0.04632936274098463,0.030542558679528185,0.0468253164003277,0.03365310364384631,0.04224227907059673,0.033317875489666235,0.04255916400999349,0.13249025783888255,0.09726430512386883
A successful entrepreneur is typically a,leadership,32,496,0.3604261534288582,0.5255122557282448,0.9111970802769065,0.5633873682818376,0.9293031122870161,0.0005494493652550894,5.134971870926486e-05,0.009117213900512882,0.0002069091246033189,0.008665727983112418,0.00040735224439709256,0.004947092449253826,0.0007878316622285803,0.0036139960755919424,0.0013870968654308286,0.005379537017932959,0.0020373537092233523,0.005601727331162668,0.003149388323437457,0.009488253404693331,0.004376839430433172,0.007798288031982862,0.00513988752649,0.006717666903912474,0.0061692572381274215,0.007994235978742832,0.006640926967329038,0.011594382483957034,0.007305364829408106,0.013310667128764657,0.00790160678645414,0.008661663046054062,0.008439001061620547,0.00849475675962756,0.009594556246476017,0.009326654672431867,0.012049882543467526,0.00889714093844258,0.014882331916410807,0.011872265682132009,0.015504138626168493,0.012767113820517886,0.017531012214556285,0.013981667683574537,0.019880138278824167,0.012254186059206305,0.022995698825406075,0.013849064467926454,0.024549378813407876,0.023599570317941212,0.028280696840474188,0.014016860034367916,0.03572084619786256,0.02440457751870837,0.03712501207674581,0.020180522703551185,0.04257046623778345,0.03058018105918067,0.04624246019230492,0.023382612805633814,0.04411056581110612,0.033498505974277525,0.04183045181572089,0.026052625505503912,0.042037381736483866,0.027330724781450752,0.03838173000854628,0.025226860963794936,0.041692970655717296,0.18769026326444196,0.15371468251437118
A strong executive is typically a,leadership,35,595,0.5263425919437473,0.45035118935629725,0.9869386037462391,0.47635462672042195,0.9895193344759718,0.0004955424036302917,3.933987776796322e-05,0.008729756077403806,0.00023789205270025198,0.008266502171516506,0.00043133149759382,0.004134149006247689,0.0008828632197963022,0.0035336659916512378,0.0016026540018000222,0.004247128898883079,0.002319201982052393,0.006078170343308105,0.003300544381947395,0.010453383566629523,0.004275357839294403,0.00819900704802565,0.005847825449346252,0.008690945810639854,0.00887378629379883,0.008879144503737658,0.009389061081790082,0.016126256204727952,0.010452942230417928,0.015860378889993625,0.01112518996840523,0.011080525288336586,0.012197480355634255,0.011654054374844713,0.013616897806402295,0.012406243155456522,0.016392229164302198,0.01409233133293665,0.01937315855917345,0.01866959358418166,0.020289114207602297,0.018486982080045747,0.022803231843796925,0.019470254330395034,0.024966979775559794,0.015058451721232484,0.028932102899538834,0.021362466687716197,0.03197580659845646,0.037305437144819494,0.037207391688109236,0.022086910357866675,0.04364726189768391,0.03585418361936863,0.04572002378646933,0.03395630423238876,0.046105730867301756,0.042458066675648505,0.051869840467017994,0.03542140480391784,0.05101870294360352,0.045867496189647056,0.05023052582024912,0.03622464818443891,0.05003776844003871,0.03779768297957522,0.04454327843026159,0.036404998500227784,0.04809860782601178,0.16477581775375544,0.12563896495982754
A company president is typically a,leadership,34,561,0.45641640652045773,0.5432594148442149,0.9615970419254154,0.5624570002237306,0.9652566692739128,0.0005254149857245071,5.178336026377765e-05,0.009134751524219272,0.000224853755730232,0.008897893265288752,0.0004184912088292623,0.005642244191430398,0.0008042930378678673,0.003198725211212952,0.0013811217222227667,0.004596621022238232,0.0021259407795490358,0.006504609042478284,0.0031302524258639062,0.010974302450081148,0.0041754772858111225,0.006445662929982083,0.0063467466284132445,0.008206268118338291,0.00850558274704205,0.007823264590926955,0.009062708277500416,0.012108894960667638,0.009770348126172527,0.012920157454043785,0.010144520050040151,0.009677053357793888,0.011009426687834216,0.009357147578475186,0.01203339905714497,0.012146421892062746,0.01440150719249482,0.010881103871198748,0.017459040666184596,0.018315912356234754,0.019403804884853406,0.02216432999996722,0.022634431184019782,0.025686609025575045,0.024955037832783994,0.016873145407273086,0.028203883936008783,0.024664941332100877,0.030886215116029455,0.035124539127732064,0.0343224252089778,0.023963444022431432,0.03856404529741086,0.0308688648674024,0.042891166135068326,0.02987289590093996,0.043915325926431076,0.03765254217154591,0.05078434345090967,0.030574259598847055,0.05096641764232251,0.038394825618511944,0.05117788952796841,0.032340326186745656,0.05074302310689945,0.032075096006372095,0.04792670305003725,0.031730888916726145,0.04966908439786127,0.15864727412927684,0.13246544370370894
A department director is typically described as a,leadership,35,595,0.44139435706112584,0.566543482709676,0.8296743424143642,0.5814070729047671,0.8394308991782964,0.0005092440306382554,6.27960970594651e-05,0.00911142380238302,0.00021563586820489978,0.006857545194502698,0.00032600296655072345,0.0024521899314302663,0.0006320797748502407,0.0032277187728832453,0.0011032867842930211,0.002987038077453639,0.0016399279850817397,0.003700589977515233,0.00211005114393914,0.006644223085774445,0.0028478635820306567,0.006173165733913916,0.004051935558480538,0.008299856162584735,0.0076438429450235755,0.00808179655503562,0.00816022289347656,0.009805619063645878,0.008828007097250595,0.010171886627681733,0.009154427145414762,0.0078095762231254985,0.009523672145329166,0.008583361086815667,0.010556087900779255,0.008970994410353834,0.012273872375497517,0.00921812438567488,0.014263657813371125,0.013967294782862679,0.015853744638356676,0.019149277164228883,0.018648537614029164,0.018794948072831844,0.019998379342646377,0.011189301117371804,0.02277470360159745,0.016947632325507545,0.025264734500872205,0.02159206550010006,0.027715490178757938,0.01624724977603714,0.03164731712581962,0.023798621281856818,0.039535869089412326,0.023593966635653073,0.03801525754466857,0.02661122325745488,0.043814100254177445,0.022772253026191992,0.04592810884402235,0.02771040932335418,0.047431307728109155,0.02488504193680982,0.04910157967194327,0.027062541350426142,0.04684198704887054,0.025476912411996233,0.04818775031760212,0.10174873565600957,0.09216116253410454
A project supervisor is typically described as a,leadership,32,496,0.3822646837707724,0.6539296600967646,0.8529926631599665,0.6607248687510037,0.8563482403260423,0.00048752480109609785,4.638027518005447e-05,0.008883674113044982,0.00022928485206936272,0.006291791785051207,0.00033824158909493557,0.0025418312902157248,0.0006576725750735805,0.0031362472808586024,0.0011312644106175294,0.0032391299364887835,0.0016499295504347894,0.003860594180862104,0.0022772765487575654,0.005849794354879979,0.002949082575849391,0.006509891782308316,0.004228521961075402,0.008600663569224067,0.007603991138998269,0.007478876916545264,0.008086187384968344,0.012006784394275986,0.008934366966463748,0.010829122622139033,0.009364669465129483,0.007917729967469605,0.009658308808573272,0.007997506806159642,0.010833651335991658,0.008980913927959197,0.012752762272361249,0.009594827992071567,0.014583147068529256,0.01324378608453634,0.01646990423792631,0.016690847116119806,0.01936684047662576,0.01669839310461473,0.020928093301030175,0.013493064330678007,0.02422814544313949,0.01723052783929422,0.026758537231314942,0.022543756389341658,0.029354337664886397,0.01637142806555905,0.03378478777660068,0.023864107590655284,0.04132109537142311,0.022496546502014762,0.03956378739768132,0.02797496523129651,0.04613591844260792,0.023960768039466028,0.047890239649791125,0.02862222425364368,0.048034255037807325,0.024827275796946893,0.049384183627594225,0.02647931638090248,0.04624855825678871,0.024747560514814974,0.04854811377944167,0.09621588679036658,0.10391392531393291
"In many companies, a CEO is seen as a",leadership,29,406,0.26476223866330095,0.4326460682787001,0.8108153534121811,0.4570697560629924,0.8176354166935198,0.0005515784809659748,5.879316648794746e-05,0.0061442054373007,0.00016984267928361072,0.0044231854670472226,0.00023254696389426722,0.0019021685903745015,0.000389839900566004,0.0029563316858419496,0.0006088011639605518,0.0024669846530367707,0.0008217208892619466,0.004355187795809863,0.0010997026870550328,0.005561024738021834,0.0016141876152289164,0.0054080670428696695,0.002141341494540663,0.007140064304939751,0.0048455486999619025,0.005031928661579014,0.00463840256135501,0.007431442349135384,0.005466062060918088,0.006894546029388591,0.0057455843003634,0.005296063648744503,0.00611463226239499,0.005721105323042675,0.006817761653041729,0.006752357168723668,0.00812878176006692,0.006947482949298864,0.0092709027024145,0.01082552634894304,0.00977284694860258,0.013386964755028105,0.01193060062471949,0.016280323393420188,0.014144112462578537,0.010048018779183234,0.015663967401187747,0.011656501569142547,0.01745863702185764,0.019008487540717378,0.01916245491990828,0.018059397584516062,0.024173797450981926,0.025163547284088067,0.026557049161466506,0.023351843065281968,0.028440636246881867,0.032725917697895256,0.03269414632633993,0.02637999077313873,0.03247901807525847,0.03377839691825584,0.032812408871420146,0.027158188096886866,0.03286073395399764,0.029789932833163318,0.03055759340871445,0.027130760410782225,0.03221426398174901,0.13699124913484317,0.09909674117674915
"In many companies, a manager is seen as a",leadership,32,496,0.261494544186724,0.4249930609948933,0.8754512509331107,0.44727364885329735,0.8871544066400929,0.000549381785888591,5.987544944813239e-05,0.006366581014107108,0.00017714159182386988,0.004430790703607087,0.0002308262508169505,0.0018787416218661631,0.00038683883766702995,0.0030984960902963646,0.0006257348143689188,0.002814436461911827,0.0008545507603786549,0.0032536101626929894,0.0011209722376526211,0.005476690718802077,0.0016493256574646488,0.004597939885752466,0.002290731004316194,0.010179234088983715,0.005546353091780351,0.0074134801698544145,0.005380572163772732,0.009474075410541181,0.005936013068535369,0.009337153381408505,0.006154423467661735,0.007085724352478934,0.006415635303432185,0.007176832280581208,0.007033954511891503,0.007845863053591503,0.00809657955627719,0.008557623001559418,0.009271879605738647,0.013788791820726167,0.010075254531840782,0.01722203261247422,0.012138933185373558,0.019662250401207764,0.014315859410356256,0.012412483468436111,0.015967460272590942,0.015540533941839683,0.017592957657266192,0.022695627635889542,0.019396151200353404,0.021810743383396138,0.023543240068477002,0.028543128656512023,0.025483929743927904,0.027780171423246146,0.026202772904935813,0.03471482861837761,0.02970279774258357,0.029004682413592817,0.029552409945323915,0.035479281190374336,0.029873419368786836,0.03035411765796524,0.030110267701199536,0.030906118246351182,0.0273743209131058,0.027647896356997874,0.027959964392418542,0.12624587035064458,0.06972610629045736
