context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,36,630,0.38277606096600814,0.3523794012144208,0.901201726635918,0.36610331614065217,0.907149422096154,0.00076641621117185,6.317597004599589e-05,0.005669658349608089,0.0012773973035362127,0.02492836470686897,0.0037119313350975564,0.005731886740969362,0.005192442838530659,0.004233763022964175,0.00563064877667005,0.004913767370358895,0.005724054843654662,0.005862139386651078,0.006580894284398595,0.00718439689915516,0.00858910227161936,0.010029525758629042,0.010841418624958231,0.009724909815649531,0.015645072091665886,0.011381476884470325,0.019975363076993328,0.013853902086973565,0.025275927088810476,0.016620634691777818,0.03372106205761935,0.015420771424251153,0.0396865305457175,0.015607792880701922,0.04744322460369266,0.014449892837341903,0.05728807418149657,0.017139739837026977,0.0669362603820225,0.01789070302114665,0.070417013811774,0.024824064189042403,0.07677210389876388,0.027592631016547985,0.08313123204841942,0.03202085750010577,0.08051929522434602,0.025993604519679334,0.0706617607566245,0.017058098239418472,0.05744784764520287,0.029719421136960317,0.05301227574348155,0.11517884729444201,0.06326038351195643
A manager is typically described as a,leadership,36,630,0.466372713589563,0.29480157187208533,0.9133102269843221,0.3021679661833332,0.9222108880342148,0.0007283889230482338,6.574495277427644e-05,0.004880162186325679,0.0012587134217259296,0.02850659208533508,0.004007042337045127,0.006755333494570946,0.005786499127523942,0.005116529111081709,0.00622140616513886,0.005546347314877013,0.006433184247596467,0.006419022683442336,0.007396995127986228,0.008047353924025278,0.009443296379301636,0.010999183055733743,0.011874955630324627,0.011454113306623059,0.016444662157652508,0.013938952444568902,0.022079506800490714,0.015721336310120546,0.028181116532033937,0.01809612309621218,0.037670711551940295,0.018948392149106125,0.044390438757718476,0.01969828977537498,0.05346793207013124,0.019024778049018715,0.06410607007618774,0.02161724558834572,0.07412502141901875,0.024140130076712923,0.07805112269148623,0.032724097881061356,0.08405583202539223,0.036655350536280475,0.09082538493990022,0.040035061987318606,0.0863449972180515,0.03316307717614183,0.07435119552771492,0.028673649176509036,0.06355611616797027,0.043669905891061706,0.06627831796202871,0.12749658822573043,0.07364964035140696
A leader is typically described as a,leadership,34,561,0.4278405050157061,0.32568121678195894,0.9392960928380489,0.3385679449129384,0.9418066721932803,0.0008688415032885505,7.725950764055977e-05,0.005041925434209772,0.0012920962001679809,0.026229101900555895,0.003945209603983986,0.005881829083000497,0.005657557443540867,0.0049468683798262695,0.005879006268666834,0.0055564573963838085,0.006171451485268996,0.006283610881915159,0.007021918962619487,0.006997612900625741,0.009030489738607128,0.009459804123515114,0.01131478610747823,0.008912063319954465,0.015409654701518349,0.010116283361691653,0.019897756277369685,0.011955855394539002,0.025333465638763715,0.015878253991141726,0.03539614595211946,0.016546986002098838,0.041519687232365134,0.01643152692102591,0.05005372761001012,0.016621988910645518,0.060342760128308,0.019814371003477244,0.06959014945480443,0.02154967985057626,0.07377052124191183,0.02970130884385569,0.07948918089278816,0.032563811505318875,0.08393988278294578,0.03448862476486727,0.07912328527836668,0.02883282414605416,0.06986610168023676,0.021649207175125057,0.05810398982166008,0.03284345244714026,0.05631899063346652,0.3223145086684824,0.18194923525731893
A successful entrepreneur is typically a,leadership,34,561,0.39930769914728975,0.37591682747006416,0.9545133964857087,0.3997978063853225,0.9589568754163338,0.000761154468640783,5.2344458220188835e-05,0.005018605499131191,0.0013593654867811722,0.023909369349350385,0.0040147358150300835,0.007047169462802395,0.005611568520198749,0.004676612738712046,0.0060473428066292615,0.005898981749196818,0.006033521530645462,0.008067444674048373,0.0070068988521604855,0.007190704531253055,0.008981816558417021,0.012422522864799997,0.010991461507354782,0.013533446401602372,0.014541684188289987,0.01408662508554471,0.01803423482468923,0.016714460905801247,0.022586651248437572,0.019635702872322223,0.028482597756040205,0.017762806224178525,0.03453244721922538,0.017112765445200937,0.04078209782095268,0.015656476096867582,0.048097601030599235,0.018856628256236865,0.05519726786660123,0.020181926068254703,0.05719596448973022,0.02756169137894599,0.0633932230289077,0.030488540135241576,0.06822203182540318,0.034792035631218875,0.06675427441751847,0.027207288641433822,0.059678416328818845,0.016804256277340678,0.049830566222066344,0.030836491801520975,0.04926216804970351,0.12606360333053493,0.07185307344132136
A strong executive is typically a,leadership,32,496,0.3134026622609174,0.3768935385160148,0.9733698267955333,0.39489180072268937,0.9752636072735186,0.0006499393072192397,4.391361767992069e-05,0.006279503655758193,0.0014800549379905478,0.02479638417106846,0.004564336252239572,0.005921043638413606,0.006292704796386897,0.00531952708482782,0.006579286310425828,0.006186768291301725,0.006888898688534661,0.008460970533582739,0.0082236780191298,0.007644763517341323,0.010274470162873132,0.010647391492042782,0.012877100751149211,0.013697642192431428,0.01844325803192713,0.015806855411977065,0.022623618799424407,0.01997052891550916,0.02871237533408373,0.024590309318551804,0.035989866124237505,0.02380565972299141,0.04225287843411532,0.02426134406449701,0.050050758008512095,0.020989518464435464,0.05929900956938557,0.02406252843365707,0.06938903863678383,0.026493934298176113,0.07176058735745133,0.036278809944058396,0.08179501345829444,0.03766136111528286,0.0857994312269095,0.034936378256690166,0.07925844945444446,0.02769961526925214,0.07045266483564096,0.018652186823135512,0.057245949999776294,0.031416158250730804,0.04898326684452885,0.026558285911454923,0.01858544954345027
A company president is typically a,leadership,37,666,0.3911221048413878,0.298063273075968,0.9515474298968911,0.3171634834816359,0.9543859464954494,0.0007559914008910598,5.386588898463944e-05,0.006144702517904119,0.0014098834100172522,0.02688863031233972,0.004344286258733812,0.00799259035673551,0.005793036555573067,0.004177057622909458,0.006393163087693755,0.004910818539346868,0.006421314475519752,0.006626341901021058,0.007368053669973957,0.007479228523758019,0.009340092406842831,0.0116346814270565,0.011458230687864848,0.012033768545340858,0.017058277219831917,0.014145737479006324,0.021688835363022463,0.018017123232125613,0.026923379758363532,0.02224262514211634,0.034805283230058805,0.019106327827341476,0.04240302143583677,0.018581478597125667,0.050101598678724484,0.018329247298754018,0.05872461759973164,0.02185024182867979,0.06842324033344571,0.02255856001240054,0.07196926488963959,0.03183937602540251,0.08032519117861074,0.0336415620385163,0.0857344182881596,0.03701017251649511,0.08250207150548912,0.027900192265790453,0.07177404828967346,0.0211806812680661,0.06273007259511285,0.03339473446236407,0.06601696889103027,0.2099173505984781,0.11649741292266967
A department director is typically described as a,leadership,36,630,0.5244330003640331,0.2975219772197306,0.897329059895128,0.3035975994926048,0.9037747121259656,0.0007592177516819457,6.59628075424739e-05,0.004372693954471076,0.0012292212354143325,0.025303462672694517,0.003795935506569398,0.005472650600609445,0.005488759815107368,0.00374294492719513,0.005695444454200683,0.004033767344754214,0.006129488426563751,0.004678334209974255,0.006998085327638407,0.00619615288466206,0.008717770836626735,0.009768859311428195,0.011040792850945443,0.009130670418744456,0.01576913963590796,0.012203540010896194,0.021301728363562644,0.01286062257647458,0.026919166966249422,0.01570435342675757,0.035573951668385395,0.015436328391484282,0.042470061806481545,0.014939823532255843,0.05137430751945717,0.014926557643756397,0.06269516442322326,0.01626129541698612,0.07292021942131283,0.016807248652853813,0.07800776701981327,0.02356122276454109,0.0859468101964661,0.027354118665586326,0.09502237234036773,0.028835536785105826,0.09112294722429991,0.023441256678578857,0.0810421837028124,0.017930952374587025,0.06855889115806843,0.02921999879329922,0.06548300256769118,0.1414855943332074,0.08048449372853063
A project supervisor is typically described as a,leadership,36,630,0.5590091818895029,0.45809309743344784,0.9016485461033881,0.4646039694916908,0.9074948551164113,0.0007336279259696565,5.96742699383405e-05,0.003694374191866231,0.001119075089785855,0.023225978263788433,0.003366204588324629,0.0064240977962978455,0.005140181711858621,0.00411127350697236,0.005673389933455388,0.004247779331582086,0.005921863659232434,0.005625948416876857,0.006855702842592727,0.0067067766717697225,0.008804347901846048,0.011192935488514978,0.011304172574827635,0.009315962160609599,0.016172545431373638,0.012205561350878842,0.02155625109441732,0.013385141873672242,0.027113962685320864,0.015187417377472517,0.03629741950370988,0.014584749094969878,0.04450003307635571,0.015011662199389928,0.05457849852088556,0.015483384089564699,0.06568828465801464,0.017989627645541476,0.07448549335717758,0.018972197215013163,0.07777845130403896,0.027005325019373704,0.08396052572331905,0.031263180968293086,0.08848006119940395,0.03224406068961824,0.08396421378089294,0.026382542281049054,0.07583248744734167,0.02247466471912819,0.0652198777024068,0.03399718607710702,0.0655894571318461,0.18184629279603207,0.10756102269021088
"In many companies, a CEO is seen as a",leadership,36,630,0.30466669410452174,0.3003677143715322,0.9141961401328444,0.3196192031609826,0.9198493926724041,0.0009657555237641123,6.513772693792558e-05,0.006609273945927532,0.001102170756422839,0.026611804496114586,0.0038728502829717282,0.00553635918730787,0.005439234495909236,0.005328680195383906,0.004978864664688631,0.005851500388119697,0.004970871340300575,0.007663792999384403,0.005671995429333591,0.008401911473212783,0.007579806874052766,0.012715927631570582,0.009496301455924517,0.012076377751125286,0.013076775624647319,0.014308892536739934,0.017404526211397438,0.01598136715492579,0.02130270788773627,0.01863981707654282,0.027447937366525343,0.01783509170372404,0.03328099010434952,0.018856620401162906,0.040169958750882674,0.017648604949992007,0.04802426816844896,0.018821604818609464,0.05597016521096362,0.018668873568314173,0.06031046424617645,0.02563083789851088,0.0665665348624792,0.026594783395960973,0.07202270727741866,0.02934576429997234,0.06866640341850011,0.02168296939856935,0.05968571301741237,0.017664448641575452,0.05032300273049827,0.03184274174183705,0.04582365625980131,0.18047230152149066,0.09571027552900216
"In many companies, a manager is seen as a",leadership,36,630,0.379083168228389,0.2481987029314041,0.9000229821540415,0.2753240513848141,0.9112010778480908,0.0007639392019906801,5.590434763409912e-05,0.0064913370815968645,0.0010965889007026886,0.026252069745964952,0.003805818577535832,0.005638386696281907,0.0052452431479412965,0.005309447001898239,0.004971547216606957,0.006473027386806358,0.004943392259707472,0.007529016656930163,0.005646758064515284,0.00880749630782282,0.007615532980573599,0.013470104252268736,0.009685130661858339,0.012384757827382388,0.013174304179764472,0.01421619414779783,0.017806067483058286,0.016214091715061555,0.02202130352427192,0.018768900997956334,0.028203485699261947,0.01852451028592088,0.03384589738079943,0.020485807931416244,0.04073020426115928,0.019854045781918517,0.04807087604948793,0.02075273235509035,0.05583535529975306,0.02261537449786284,0.059861833792859837,0.030802947666816242,0.06559763011559802,0.03278231842467421,0.07008829639770267,0.03261100454055824,0.06462169025020824,0.023240191662160466,0.05638158621028073,0.019784891216566514,0.046729992531462615,0.032014413276795876,0.042290978496750536,0.11803584037143376,0.059160788501429556
