context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,union_mass_base,union_mass_ft,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24,l3_layer_25,pertok_layer_25,l3_layer_26,pertok_layer_26,l3_layer_27,pertok_layer_27,l3_layer_28,pertok_layer_28,l3_layer_29,pertok_layer_29,l3_layer_30,pertok_layer_30
A CEO is typically described as a,leadership,32,496,0.36630589209715186,0.5057294764555991,0.6528244195505977,0.5123034214902873,0.6697105361981812,0.0011699629010978854,7.668259195180854e-05,0.00539133899708283,0.00040826028860112967,0.006050995511304688,0.0005410981611907312,0.006346246596242145,0.0010238630527923571,0.0046017077545052075,0.0019370483974823043,0.004760420864609659,0.0027713695003751364,0.007071204667901142,0.004254658905671959,0.006891963698036888,0.005427529540771782,0.005865845789414585,0.006573501310840252,0.006815071162547421,0.007457223982414999,0.008056071194130992,0.00798666462054021,0.007741930023016407,0.00863342716595054,0.008696482639281114,0.009771557736756465,0.010760087343147777,0.011919344548300716,0.014189124432884788,0.014134208359156658,0.011312770619644441,0.015594511062667224,0.010127003258249273,0.017865602396549527,0.01302361148465415,0.021240714293284432,0.012452165690522862,0.024092881130045794,0.020303453443839072,0.028351338613447966,0.021535597937315007,0.038298439303096184,0.01776299791323396,0.04097997783653036,0.017919474602390354,0.046813888051251626,0.023989485024978083,0.056875664226865866,0.028074515524730507,0.058287046414652266,0.025178537837918367,0.048832191519795586,0.02615804604472653,0.04657633126032548,0.027443094691509386,0.053099135844646234,0.03533186210960054,0.06109208212932315,0.03285256633920678,0.06285370598454759,0.17397044237420248,0.2286399872365742
A manager is typically described as a,leadership,34,561,0.37748276538370107,0.5319184120744467,0.7100961399264634,0.5448635221691802,0.7219851861145798,0.0012539028646476622,7.241799187721543e-05,0.006552153220652055,0.00038950942786090715,0.0066314644581806975,0.0005191006475154312,0.006194956276060935,0.0009709367972935684,0.006360235387656059,0.0016483735813681076,0.005486022737764135,0.0024217662405494446,0.007945577871735332,0.003625186026209661,0.007911537302058787,0.004839967510412635,0.006419754501044295,0.005925754993026033,0.007474144799072032,0.006506206801225747,0.009577514973372048,0.006959644624937393,0.011020803618384532,0.007692545480243918,0.010744740532700947,0.00887633855884484,0.010367141620323267,0.010971291611976434,0.012740327098895962,0.013669830214978062,0.016435192983423896,0.015386576572019603,0.010662631518803395,0.01869452187454722,0.01512366558703689,0.02228996335001908,0.01548740558793705,0.024928402169957488,0.02182719551416161,0.0289897088064473,0.021725516720269424,0.04173595154821952,0.01600030460780933,0.044583720754751976,0.01602965912300884,0.050362816854523686,0.0234345362305313,0.058255403506285754,0.03007344363847723,0.05735370092948677,0.030371463459776184,0.05019858927006566,0.03241728634272418,0.04743259188967825,0.03564605085226817,0.053824019283947463,0.04304257594642378,0.06072984136653862,0.04073033893213373,0.06115514012920995,0.2062948436659402,0.22752586025724958
A leader is typically described as a,leadership,32,496,0.414106131411761,0.5498334406875074,0.7627281132154167,0.5572875000780186,0.7801271945245389,0.0010420307262878172,5.862818173556217e-05,0.005574175548297092,0.00039786927955896834,0.006023261983291137,0.0005637782887749423,0.006036921871694903,0.001021401993992515,0.006132327421805639,0.0018121056650920106,0.005239902918836542,0.0028383805861149324,0.0072674309436857884,0.004545053501483109,0.006518461594058611,0.005748098517759755,0.007400133869211968,0.007009932493959505,0.007593238029443966,0.007788936043401012,0.009543519521798001,0.008116405722455103,0.01005490367591628,0.008754938836077766,0.010887258746439662,0.010258595898609876,0.012275780478419424,0.012744328766995633,0.016627468544975172,0.015520257106684691,0.015042163439831871,0.017538106438602378,0.012349252917479644,0.02068692216726647,0.01720490382289291,0.025296915896782204,0.01616433124911753,0.02845811908117258,0.024039965795267137,0.033494233519777705,0.022599806334884964,0.047091764720389964,0.02005812036470732,0.051663050912394634,0.018650832475362235,0.05764431750162022,0.02828435285118954,0.06735922118768764,0.03480757696334998,0.0686517960582227,0.029323596334574605,0.05775466919099788,0.03309277182660808,0.05373545443314662,0.035777530175287856,0.06125940003260924,0.04295433298078107,0.0679650384288217,0.04028622223274741,0.06719980003746256,0.18042068695657704,0.21439806056529825
A successful entrepreneur is typically a,leadership,33,528,0.425976149348957,0.5372818703763187,0.8101852345280349,0.5717495240314747,0.8393948772791191,0.001058572875547787,5.8815670719720444e-05,0.006229735517072355,0.0004243562619867264,0.008787313450973652,0.0006407831194950839,0.007410077542825613,0.001234752387436378,0.006004914870830421,0.002081668005754634,0.007267487650927878,0.0027877165801558903,0.011747603672534617,0.004136651676784702,0.010486170617670442,0.00522172877297004,0.007627506519574551,0.006105137961341264,0.008380117663395744,0.006945429074776984,0.009852424400050823,0.007374827061670485,0.009443375993500997,0.008337580160756575,0.011099567596507732,0.009913192600705691,0.011003634449409367,0.011918957498065008,0.012034588123782717,0.014472149039274665,0.01395584016774631,0.015556305989566635,0.01147417370234091,0.016872415431773178,0.01603881005673753,0.02101264491812248,0.015326899293881202,0.02392269348423907,0.024182892111514975,0.02883368218361853,0.023877086307428266,0.041300408782399316,0.015863824298033177,0.0428029422002209,0.014545523794350448,0.0490209926619039,0.026298414707199316,0.06371378443374268,0.03223337844410191,0.06469832090344349,0.02777865417138946,0.05217410765471453,0.03184695324589249,0.051315136292365976,0.03235611860339606,0.055921460082752505,0.04145974363277257,0.06249771665824573,0.040063590846729065,0.06263313289748414,0.21291591382372724,0.25239164039149803
A strong executive is typically a,leadership,34,561,0.5571781559894471,0.381801906041801,0.9724718476063572,0.39366665279749213,0.9736960856642174,0.0010936397889578869,6.121922601808131e-05,0.006342262858729815,0.00044199357308213075,0.008189829854744486,0.0006464619124706123,0.008148107471544017,0.0012667885029489594,0.008867374012466346,0.002092000862887623,0.007910145647701813,0.0029707641696700964,0.010485878921779228,0.004973950881282659,0.008749116114096088,0.0063750308062108145,0.008151889433478629,0.007741280910577693,0.008215172799981697,0.00924548361923682,0.010105526513313748,0.010009791992022477,0.01057189603135144,0.01083059430791744,0.011041019516436093,0.012670346764427113,0.012050937357206944,0.01533087810588526,0.017479644865855737,0.019287323849110777,0.019171304620479186,0.021389498495660908,0.011333387618227081,0.023376100791807825,0.01848280879534383,0.02907094945547017,0.01760107328034876,0.03305348168301665,0.03139733330184712,0.040164721625086136,0.027349066116663667,0.05572918724400409,0.021695353754620693,0.06084798072651337,0.020467923897865184,0.06895066204389001,0.0322171309111572,0.08967683424229582,0.03829388187809398,0.09321650086793158,0.033769233893273985,0.07636956519337917,0.03604581335325406,0.07370995434316978,0.03840098684091735,0.08263286679142384,0.04439278017211358,0.09302997874433852,0.04319443841386255,0.09194970472067208,0.18952157959034177,0.2672563869709687
A company president is typically a,leadership,35,595,0.3856822177099127,0.3265075897797942,0.8379957948345691,0.3465779828675295,0.8482243135422323,0.001052624365090693,5.8034092493665566e-05,0.005072291290520248,0.0004097992442934644,0.00715512628359112,0.0006344058015172159,0.007207389580808878,0.0012746079186627592,0.007048340513110834,0.0020226499362840933,0.0076779411003849996,0.0028443906262948936,0.010150439858327158,0.004349355765384425,0.008862771283395104,0.005675797552503419,0.007921517986440339,0.006875172441735823,0.008298631305045056,0.007655598150256563,0.008660796829113998,0.00798063442282721,0.00929151304730331,0.00854722246452973,0.010443253186535875,0.010082826786330159,0.011321300483101492,0.012431454050733195,0.016113093268122675,0.016021472125055097,0.015647122485748333,0.01787066519994541,0.011669519836215149,0.019820244151413844,0.01479191738996401,0.02409703028489575,0.01466716972612548,0.027320098077881612,0.02310451381740241,0.03294834145110217,0.025848202711706094,0.04477600532072063,0.0179655802566543,0.04510718426114646,0.017480301434710365,0.05187089276208962,0.022029373894568743,0.06268676509154793,0.026042500971682803,0.06571419907435522,0.022105465610756672,0.05152474321668449,0.023389226773800037,0.048660879226347764,0.025052619391182397,0.05536570724477032,0.03065164649978447,0.06252512313527746,0.028242818852784752,0.06268939693513009,0.15210850990789293,0.21022098784101945
A department director is typically described as a,leadership,34,561,0.37645220907086696,0.3517051860690117,0.8439607112668455,0.36665613285731524,0.851794751783018,0.0012776429495812956,7.507064761132792e-05,0.005835316849530676,0.0004120169359551193,0.0061195405052927795,0.0005271732962949804,0.005541486699328987,0.0009807198492429137,0.005878254425166899,0.0015905907079690556,0.0061517583971680105,0.0023910314396119884,0.007612395106085059,0.0038090693881290467,0.007214433222448298,0.005171971454375972,0.0065249700030027774,0.006167662765490343,0.007580721934031671,0.006891320967633472,0.008353985188943359,0.0072672020959479965,0.008472294949548419,0.007980207019171603,0.009630474968053885,0.009192477370942646,0.011155652644535363,0.010986386145842634,0.014107142833526386,0.0129163350303049,0.012941080922114656,0.014286697193099588,0.010402742343978194,0.016890900352885884,0.011483728781759362,0.020018600983905042,0.011577965024262607,0.02347815700291462,0.01669752791906399,0.026674247351691608,0.017518366387243373,0.03837407225647185,0.015970303222337213,0.042038743806652706,0.01792007210697761,0.048459603352029264,0.02149302577762384,0.05831182820247033,0.030384828371018635,0.06225364237050607,0.026060708397875536,0.053077761719608235,0.028115127636267303,0.05022558279858307,0.029209397448614796,0.05734928164981466,0.04139982096178262,0.06460330874897512,0.035920072605631966,0.06387487226314714,0.18843768776242092,0.2083553997756636
A project supervisor is typically described as a,leadership,33,528,0.3901952664477783,0.46699208207428455,0.8597317913081497,0.4779931753218989,0.8663316975562338,0.001271540999074054,7.0195009415334e-05,0.006662851217671093,0.00038376020483296436,0.0066126581997317385,0.0005005162429965384,0.005922341492644027,0.0009494154665328315,0.006287573756471391,0.0015488147528804359,0.006614644044355818,0.002264333706766775,0.00952804934515934,0.0033205332040387933,0.00852766058638346,0.0047333719364308635,0.0065073045579443845,0.005585733082275539,0.007209497958967709,0.006195633667862193,0.00831590389153262,0.006633653888992855,0.009155427669949258,0.007394023392818246,0.010926646191070744,0.008460391432237962,0.011044463342858937,0.009923406084486124,0.011278189688663079,0.012196557419080125,0.017564911517033713,0.013897120067297082,0.011309726601818976,0.01594516114137753,0.014683804504237678,0.018845415188895712,0.015793167913013065,0.0222003281439744,0.020511090546204643,0.024975172331679663,0.0203148150911065,0.032970293565191704,0.01692772855354703,0.0352038797975989,0.017788003470750102,0.0414094510524869,0.02490163702889449,0.051806670428346524,0.03504884311820634,0.05461468146086502,0.03375724342098069,0.04648600580252154,0.035992573445423844,0.04562510259206277,0.037788578122422326,0.05123794511094442,0.04473382429980281,0.0580249607125726,0.03835223786261642,0.05662839509028021,0.1585453093458114,0.15044506244829642
"In many companies, a CEO is seen as a",leadership,31,465,0.2632314003064191,0.3193404767662287,0.7195560247637331,0.34431642352137715,0.75935789255891,0.001244793827257661,6.856277958414237e-05,0.005221166556215313,0.0002953386554578939,0.006407820223265774,0.000389946294022562,0.005203427609592165,0.0006859877087979584,0.003769822991878499,0.001286861309076325,0.0038162134002762377,0.0017162969601573182,0.0067392553345717865,0.002493796830561655,0.006157533957123569,0.0031115331824323627,0.005265252130546168,0.0036377584069881546,0.00546447437707643,0.00403243515845831,0.006732915446559621,0.004699549717644639,0.0061352374771985125,0.005038609654815507,0.00677535868755577,0.005711642050765421,0.008065306619581231,0.006893341362172291,0.011738069225603826,0.007903805316921862,0.008038995114076315,0.009023673746806763,0.008985519124482692,0.010771174396811916,0.008000110386836049,0.012407838325803371,0.009175162072345157,0.014378872544594481,0.014708533331043069,0.016920484595184204,0.018276554110358546,0.02246288814971156,0.01417398339782719,0.023446850065523623,0.011071256774510594,0.026302351768532017,0.01892642754716093,0.031487533170528,0.02298984421817745,0.032441094308409996,0.0208878429964565,0.026416999265619644,0.021838330534194674,0.025222266864128238,0.024098280677153028,0.02967365284484047,0.03126062912089373,0.032789396934451036,0.028493144423670413,0.03332997366772473,0.13667959071898667,0.09543461852834512
"In many companies, a manager is seen as a",leadership,32,496,0.2720592557944873,0.30470172921195626,0.6794255524873734,0.3337256805971265,0.7026012629503384,0.0011038515190465324,6.076696168283435e-05,0.005354407133037239,0.0002960700348164126,0.006418933973316204,0.00037759335080761805,0.0053703458953006265,0.0006578925133762549,0.003457034929561144,0.0012523119644714427,0.0035728418945219077,0.0016850794929934472,0.006818856694186994,0.002389122437928555,0.005774139465164158,0.003167377843033295,0.004881989432411924,0.0037580831614012662,0.005385159403074156,0.004018448758496728,0.007675809349218,0.004597516695418299,0.007780210365997337,0.004842814138775398,0.007089765583519952,0.005528693151283362,0.008132686656971626,0.0066384255559135165,0.010822293443444334,0.007741708685646095,0.007702407206322897,0.008663783409615482,0.008405717155292359,0.010623751841705026,0.008808675794745832,0.01235718537832714,0.00977986360359067,0.01415812677731907,0.014887010887478734,0.017166280064627473,0.01818097528735665,0.02288148370453929,0.01458308226118958,0.02402259360859077,0.012185249825986687,0.027383882723997194,0.018736383772640412,0.03169334406371646,0.024707352354957225,0.03283641030126492,0.024563044833738456,0.028582081337987987,0.02551124715874535,0.02752843154759583,0.02736581311067676,0.031781158687125395,0.03274949504809195,0.03451905852577654,0.031048332982755535,0.03450211856518062,0.14081079638448787,0.09397985756525906
