context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12,l3_layer_13,pertok_layer_13,l3_layer_14,pertok_layer_14,l3_layer_15,pertok_layer_15,l3_layer_16,pertok_layer_16,l3_layer_17,pertok_layer_17,l3_layer_18,pertok_layer_18,l3_layer_19,pertok_layer_19,l3_layer_20,pertok_layer_20,l3_layer_21,pertok_layer_21,l3_layer_22,pertok_layer_22,l3_layer_23,pertok_layer_23,l3_layer_24,pertok_layer_24
A CEO is typically described as a,leadership,32,496,0.5579945542527566,0.5799029476474971,0.9908124680223409,0.007405932132694935,0.001423560315429992,0.018097100557503465,0.005189508109616745,0.023681974151453854,0.013964259528668706,0.02139831969679654,0.024873328572423317,0.028396784648475157,0.038132657513345866,0.020833593077830254,0.052620132644919056,0.02505776313531216,0.0646417528054002,0.04134759310183574,0.07130296443380973,0.05649295892383042,0.07841913630529228,0.07043374014164296,0.08612278652108926,0.07243583877209785,0.09137315945400658,0.07608659627579559,0.10423783455121742,0.0827447714307164,0.11939382330552552,0.09882309592003502,0.13814149473975887,0.09096461771960172,0.14169520979701328,0.10883882607440648,0.15937305131660084,0.10427737588716275,0.17047131137550292,0.0988795539269258,0.1588535084789986,0.09742174403931915,0.1526421357543294,0.08275376485395015,0.1439101557105304,0.09036476863600473,0.16625264330884112,0.08976986725762201,0.21150450070655213,0.08015899667632034,0.250464524686932,0.08992793069419672,0.3056776581759467,0.11414864255836922,0.2310123597566558
A manager is typically described as a,leadership,33,528,0.574352814434516,0.7462600765284151,0.9870914766797796,0.007450130478517711,0.0014676980239869207,0.01815390819314371,0.00530172932190572,0.024036993701654,0.014378840462861881,0.021357324367993896,0.027262695933948724,0.033282069159251915,0.0492794633496479,0.02926312722439555,0.07147830157945109,0.033806018409437796,0.08800187996344722,0.05771158948513307,0.098557650562349,0.07109212621136367,0.10542873761880389,0.08438858058212116,0.11362495769377481,0.08464911461781409,0.11925532449259003,0.0852359809133627,0.13255958396553658,0.09494509580641691,0.1489835731670435,0.11434410383210941,0.16900056049439077,0.10967038514572194,0.17347150963049207,0.12495020230913381,0.18688534562356204,0.12554828925785536,0.19388125703984838,0.11668691498285688,0.18167935375848843,0.11546192491288274,0.1771222495885409,0.09691229757499496,0.16488527280937934,0.10466109618851994,0.1880108069647754,0.1091637237399875,0.2419063036264397,0.10252371502922478,0.29035673382998817,0.10406350671307885,0.3510212838908446,0.129982164480745,0.2859183169797118
A leader is typically described as a,leadership,35,595,0.5570826286106496,0.6378328854916617,0.9918697849207092,0.007399872635278992,0.0014401693569634658,0.01840368393382028,0.005068766281945084,0.025378338522606386,0.01378690112049952,0.023829359426687253,0.024844888952640008,0.03363931108259222,0.04233381618612366,0.02688738831450142,0.0625023202299671,0.03140345243169011,0.08080681872698213,0.05128343410497914,0.09212801165211527,0.06272967057538788,0.10000765717727321,0.07678337769507344,0.10865950410957935,0.0764835052353941,0.11429646148165062,0.07894415536953306,0.12783841991562192,0.0950987497617265,0.14366932751567174,0.1199341311863479,0.16476852058799604,0.11829975977402075,0.1709931737257402,0.13762299949158213,0.1871539970192855,0.14181807368314034,0.19211074334522002,0.13702970689930694,0.18081436754225227,0.13291463847773186,0.17255375164541858,0.11733886856246385,0.1614065733589615,0.1285810612709158,0.18611398062284512,0.13306262126570734,0.24048713358680532,0.12337563856962813,0.28973340437644307,0.12314899252366134,0.35733207917469534,0.12938269612846828,0.2981351925364957
A successful entrepreneur is typically a,leadership,34,561,0.46189058967156,0.43185512628406286,0.9946302365278825,0.0056403138569612096,0.0012920032999181091,0.018428489741626027,0.005525719658012188,0.02433139815861219,0.014700898678048233,0.026374416302559812,0.025581404536760912,0.037709100621901526,0.03933567732670799,0.026623661583203957,0.049420609647491696,0.030468574522233293,0.05635228705370111,0.037679224852839276,0.06126478343836823,0.049784758164717925,0.06821006851808228,0.06683212541488652,0.07929919620372991,0.07348173803333523,0.08507207905772596,0.07611983755125312,0.09706907056219649,0.07660457402461388,0.11121327219481285,0.08922442735085492,0.12787908397700448,0.07344469819882747,0.1325432167671698,0.09281015176303206,0.14687357639997575,0.08755108367164663,0.15010109516915904,0.08523957646212973,0.13696138756511117,0.08665157560743686,0.12903822930388129,0.0752167744736436,0.12349503086447858,0.07863533774268056,0.14131564444050418,0.07707185807837015,0.17346400078383797,0.07117735164636907,0.20463664924813935,0.07216308531605682,0.24595103052668071,0.08815147563406334,0.18879320439336306
A strong executive is typically a,leadership,32,496,0.5241726152299065,0.4347247192636132,0.9902358789695427,0.0055810704975496,0.001181905555011173,0.017433356581370872,0.005259562442663138,0.0230621106476678,0.014520736178470432,0.024843742086622114,0.026543339945056758,0.038759705579039,0.04238627873414232,0.027309433408301456,0.054046721875350694,0.03238736816833936,0.06193154530397814,0.042567376679290024,0.06811448446760583,0.05924655563234616,0.07570612800774554,0.07878940623324979,0.08851767309416175,0.08071134803869852,0.09217649710807513,0.08488987039857891,0.10436430230640559,0.08924541203166704,0.11804560599015225,0.11186640017231098,0.13890425239451354,0.08875621175748657,0.1478482884081899,0.10911071288802919,0.16175597153508026,0.10889213291612025,0.17112738610084333,0.10607529056593643,0.1558380732843881,0.10831474539781122,0.14773873652199965,0.09979857817038529,0.13936753801409624,0.11026904204601959,0.15847566758419995,0.10822142180509597,0.18519333044026698,0.10001429500346598,0.21749521750439693,0.0946047062498571,0.26498683107212245,0.09782843491196999,0.1960058230712731
A company president is typically a,leadership,32,496,0.5333026448312617,0.35559788811951876,0.9986795286677079,0.0064627145154718705,0.0012999124294024514,0.018527620560202206,0.005371896148941915,0.02299437110163405,0.014084296998630223,0.02008567980447573,0.024104696692426264,0.027031761094819154,0.03839569042575547,0.01705592958162645,0.052497389773663125,0.023094090898009713,0.06481950013289925,0.0416053293340447,0.07126158252623357,0.05916855099755701,0.07897561651464081,0.08149963757998785,0.08993570144112745,0.0830318042468497,0.09393540230522789,0.08582725418943943,0.10681501421697091,0.08868814963276356,0.11904455865913391,0.1031325954551023,0.13555261540864155,0.08566464974649518,0.143782629630447,0.10528127467870096,0.16001389415892822,0.09235165554671065,0.17353007861946929,0.08557402145175212,0.15620360896448487,0.09134687316163388,0.14928902106548753,0.07685184914964895,0.14098738884179784,0.08181876498086552,0.16029483110118445,0.08075823655413378,0.19846249012321582,0.07159518611943907,0.22621970985957407,0.08113599041064577,0.2611355044387241,0.10153949142651789,0.19154908583223568
A department director is typically described as a,leadership,34,561,0.6230445237485828,0.47333924658596516,0.9924427734222263,0.007874732757140207,0.0015244400361781024,0.018555911685209252,0.005158216805877214,0.02602559267919969,0.013778395233247635,0.02678938516042861,0.025442828325134812,0.03706042794806819,0.04111612430536599,0.028342195921750586,0.057730821778925044,0.03087620614634857,0.06830091432267188,0.048483251983469866,0.07692665214972677,0.06294902427447172,0.0835442960308029,0.07733225907222234,0.09151708451239322,0.07798894048293219,0.09613116281330587,0.08128594201225411,0.10817973143031356,0.08609006408848102,0.12442002184142217,0.09823621238153744,0.14337881408158087,0.08677209844243311,0.14742881161886756,0.10742247631958533,0.1662857458975865,0.1110884054368377,0.17469455474823015,0.09842702883222683,0.16292549485744648,0.09146418786521758,0.15826689143300118,0.07282047841986664,0.14946165182460067,0.08002703736841815,0.1706280459085807,0.084954181161444,0.21422181159622686,0.08644250032508388,0.2502993417403067,0.10287509559150865,0.30928264344865886,0.1353908076304252,0.26528333945036586
A project supervisor is typically described as a,leadership,34,561,0.6348626427670907,0.622015574015677,0.9971719692694023,0.007679151926260788,0.0015740619241577495,0.018706550702432587,0.0052397210457903855,0.026611025428023252,0.013715542281602652,0.028087204336474537,0.02477237157164342,0.03598242577530755,0.04045254002986202,0.026129436276753158,0.059048579856166995,0.02997352310436857,0.07372579339846584,0.048629022403280785,0.08484968037869405,0.05953150078176916,0.09165920523004024,0.07386528676366547,0.10065000215903919,0.07587364634846924,0.10888486756712602,0.07536374385381212,0.12459468717602987,0.08436595085901313,0.14103604883618415,0.09903389941077678,0.15966714005021804,0.08994665772996087,0.1666171854966676,0.10986405961859096,0.18120686000020414,0.112708125428803,0.19193089722491882,0.10425312188969453,0.17778230548937993,0.09858716095604797,0.1683848511464169,0.08010025107520662,0.15787987209258103,0.08348018705182979,0.17905419416470156,0.08561128776036891,0.22444871947432468,0.08498174781107867,0.2645154487310941,0.09890635012602837,0.3220471103747898,0.13273777942992349,0.2942937093500412
"In many companies, a CEO is seen as a",leadership,34,561,0.5658613948328455,0.3291142089292407,0.9684993994887918,0.006696369273208152,0.0013119237510276869,0.018736684015945675,0.004822136973315568,0.024039460880231917,0.012505175889004006,0.021774516163250116,0.02222731606209551,0.029297916319528876,0.034732390177931276,0.021911652242306914,0.048515802603244375,0.024531320579895627,0.05887481057431526,0.04036645491352417,0.0682708235003686,0.058762278413742555,0.0767740479154582,0.07039858185892561,0.0874502074875485,0.07593433831194121,0.09176823615149483,0.07181194924487698,0.10313013949079401,0.07939289392760303,0.11644048495221923,0.09630941354629538,0.13340707526504775,0.07800904391423814,0.137530446444866,0.09947199747974127,0.1548175750467165,0.09431683089596046,0.16404530955888447,0.08846276777256429,0.15009603284655962,0.09132861671871385,0.14621525328950213,0.0758485018360913,0.14092017419893535,0.07936753229968468,0.15625805907872065,0.07379352646281308,0.18904960185520708,0.06540477642166809,0.22078697043788487,0.07482786386356105,0.2681069360355416,0.0958232772572977,0.19027863930957503
"In many companies, a manager is seen as a",leadership,36,630,0.6111753432041741,0.3384360009804368,0.9706631900044158,0.00623894348435843,0.0012140635895642798,0.017753192412142453,0.00465674112545977,0.022487070276548456,0.012171812232231663,0.01757839029461845,0.02201583216328507,0.02414079226202136,0.035540696905325846,0.019048712161722776,0.04978362186570335,0.022832710005277663,0.059921269909543225,0.042206955793689674,0.0693208640944436,0.0631245295258746,0.07859981190866121,0.07864252633491979,0.09105076550589541,0.08607489653020668,0.0956804706416917,0.08381456100734695,0.1048142599666405,0.08985704375692222,0.11797280924457754,0.1050763791156157,0.13427242073553763,0.08611627316787636,0.13956208690951,0.10629246046067042,0.15425969477664225,0.10154283355553465,0.16063922659096488,0.10044020757291817,0.14778569995188814,0.10738067885292393,0.14661536745274775,0.09054296091560654,0.1423281664124764,0.09295891521580556,0.15477781617536732,0.08830880161792491,0.1839892976225521,0.07755691771580131,0.21345354517259968,0.08306545281301594,0.2646945867452446,0.10169626079700932,0.19160672866347628
"In many companies, a leader is seen as a",leadership,32,496,0.5279202203544372,0.41684513026848435,0.9805169466417283,0.006737860031505174,0.001284511050057932,0.01788752470554237,0.004701474405869897,0.024205344468130306,0.01233247638204666,0.021542994519757518,0.021897373072246096,0.026349572211370034,0.034509811315665676,0.02018907778262823,0.049713716663894986,0.021458801854699734,0.061661932316056,0.03611042925668381,0.07147057665653761,0.0524998090589266,0.07943000491328854,0.0644807844543689,0.09167190560419392,0.07016775285575833,0.09667076562904747,0.06751906541787418,0.10952709066192308,0.08228477959555806,0.12572108910293342,0.10269828656328318,0.14455746876104114,0.08915609761520751,0.14796833136894147,0.1039453553320543,0.16341858856527677,0.10185226489450727,0.16676890973684932,0.09891320150261788,0.1524167765726647,0.10056019087617103,0.14308534129765021,0.08605958071315387,0.1362158132545301,0.08870897845313944,0.15201520843387734,0.0862950158091218,0.18640098529099622,0.076920114817338,0.21957748096440752,0.08842886041885879,0.26863963224108994,0.10015871461097219,0.18632353462611545
"In many companies, an executive is seen as a",leadership,38,703,0.6415583855631998,0.3124210354872048,0.9664516845950857,0.006446232513247466,0.0012593259151603142,0.017451498475409194,0.004593700399048863,0.022936813599946287,0.011758741668910812,0.02067756577456563,0.020931022678115703,0.027531056438517793,0.032453762521663924,0.01891459197861876,0.04467038838055084,0.020896737921482392,0.054084824034335365,0.03874327581772885,0.06354405458099198,0.057532674495341114,0.07246476329597007,0.07185950321600686,0.08358182993152256,0.07849368195997541,0.0879657631074023,0.07879486136413542,0.09845645432617409,0.08581037537579854,0.11103152204130322,0.09929718480684013,0.1263686309281173,0.07768038566676616,0.1311160572721354,0.10003037861568433,0.1466724207130858,0.09491008892545126,0.1544040243459306,0.08852092528323059,0.14093682925228354,0.09551203113616578,0.1388042329031076,0.08101353675934665,0.13464978864102595,0.08491539568713029,0.14676830926301682,0.07982990168236181,0.1750650173864399,0.07186378824965552,0.20221349333414446,0.08404857845472845,0.24836131303139403,0.10402169149283874,0.1860044973773446
